image_sha256,frac,mean_pct,sd_pct,n_crops,dataset
109bf0de4738fd849e991d24e4960c9872c466b15f1a82ad2f6e3342d21ee3bb,0.5,3.43375,3.936789618458167,8,evican_eval2019
1161e19f25a94651ff32db1627ed51a3c2048443d7a2b2366cfaa10f27c741e0,0.25,4.7725,3.8321748767135206,8,autoqc_bench_test
1161e19f25a94651ff32db1627ed51a3c2048443d7a2b2366cfaa10f27c741e0,0.5,4.5912500000000005,0.8782846512215892,8,autoqc_bench_test
120762750d318950248b4cc0283433f49d999b7812b55140c8b5e9dec02024b1,0.25,0.3375,0.33298434111617237,8,autoqc_bench_test
120762750d318950248b4cc0283433f49d999b7812b55140c8b5e9dec02024b1,0.5,0.24625,0.059024813184190346,8,autoqc_bench_test
122ebcd453e92930ed749588ee24ceb623ecc118d6fe679707885758b806920c,0.25,16.6025,34.006408954783794,8,evican_eval2019
122ebcd453e92930ed749588ee24ceb623ecc118d6fe679707885758b806920c,0.5,1.7175,2.429701627772431,8,evican_eval2019
123f02a70a3fd75d6fdf2b91013c017c35f1060f2f1011b28880e85ba17db96c,0.25,5.36,2.9379438874345927,8,autoqc_bench_test
123f02a70a3fd75d6fdf2b91013c017c35f1060f2f1011b28880e85ba17db96c,0.5,5.6175,0.3513138604886358,8,autoqc_bench_test
12b0dba5a256d8b1ecb27a73da5bfc0ff3beaff2d5754e153aac6b349d12709a,0.25,0.0,0.0,8,evican_eval2019
12b0dba5a256d8b1ecb27a73da5bfc0ff3beaff2d5754e153aac6b349d12709a,0.5,7.76,6.513528778078527,8,evican_eval2019
14522804fde96e9f51ef94d43e992ec50fd2bfde5c0a182591225a34f70fc697,0.25,3.0700000000000003,1.8240927294724592,8,autoqc_bench_test
14522804fde96e9f51ef94d43e992ec50fd2bfde5c0a182591225a34f70fc697,0.5,3.83125,0.2744572566252998,8,autoqc_bench_test
147904548c5c5266046d3c6760ebad0e3e0c055f93ccbc09dd84c5f402b74a76,0.25,3.4625,1.1357407903466101,8,autoqc_bench_test
147904548c5c5266046d3c6760ebad0e3e0c055f93ccbc09dd84c5f402b74a76,0.5,3.54625,0.6337177717925497,8,autoqc_bench_test
15b10183c8c00c03fb92389ed14a8ef358a33b1deac12e1a37528443c648e39f,0.25,21.5675,39.939044895225734,8,evican_eval2019
15b10183c8c00c03fb92389ed14a8ef358a33b1deac12e1a37528443c648e39f,0.5,4.123749999999999,5.616363687603267,8,evican_eval2019
1632001a6a19e82d0c456890e7bbb02dec560f78b1f68eed6caf2cd9d72670fc,0.25,0.5625,0.46086099546702486,8,autoqc_bench_test
1632001a6a19e82d0c456890e7bbb02dec560f78b1f68eed6caf2cd9d72670fc,0.5,0.2025,0.08013381665332416,8,autoqc_bench_test
16b25b4429b4a8dd31209f2b52d125d5bfdbbda17f230fc89c745ba84a084ed9,0.25,64.105,32.96793290456652,8,evican_eval2019
16b25b4429b4a8dd31209f2b52d125d5bfdbbda17f230fc89c745ba84a084ed9,0.5,14.445,20.553039399841296,8,evican_eval2019
16c22ebbc5e47b57355f1a4606f53e045fbf616447fb671bc32b5ca3195f83a6,0.25,3.48625,2.4592039217135753,8,evican_eval2019
16c22ebbc5e47b57355f1a4606f53e045fbf616447fb671bc32b5ca3195f83a6,0.5,10.401250000000001,7.8089114615473605,8,evican_eval2019
18f6d85f2cf44f4910f8bef16afb042219cdd193325b78c761963b87c94e14e0,0.25,2.01625,5.261322314779812,8,evican_eval2019
18f6d85f2cf44f4910f8bef16afb042219cdd193325b78c761963b87c94e14e0,0.5,0.0,0.0,8,evican_eval2019
19e37d5af0f8befabb5dc3e55ad23a18c821e6a25769f8fcf3d73244637fac6d,0.25,3.1125,2.2247744669002807,8,autoqc_bench_test
19e37d5af0f8befabb5dc3e55ad23a18c821e6a25769f8fcf3d73244637fac6d,0.5,4.0675,0.7098440472586716,8,autoqc_bench_test
1bc4d7587d7a345d53dedf85f36b4b92e512dc4110c02594bc1af2238c88955c,0.25,0.07125,0.20152543263816602,8,evican_eval2019
1bc4d7587d7a345d53dedf85f36b4b92e512dc4110c02594bc1af2238c88955c,0.5,0.0,0.0,8,evican_eval2019
1dd8e1d3cf9e0e516d9cb9483aed16da14df43c760fd9f64882f4de03e6e20c5,0.25,1.5237500000000002,0.5989261223222778,8,autoqc_bench_test
1dd8e1d3cf9e0e516d9cb9483aed16da14df43c760fd9f64882f4de03e6e20c5,0.5,1.8575,0.22606888962690738,8,autoqc_bench_test
2171c49ce6af7d757e5733d8e308c8eedb2798e63a0cd16c6003760fbd73761f,0.25,0.8150000000000001,0.4342481186734476,8,autoqc_bench_test
2171c49ce6af7d757e5733d8e308c8eedb2798e63a0cd16c6003760fbd73761f,0.5,0.99125,0.14769055487741928,8,autoqc_bench_test
22607a311c4f50c4a3c3f7906143c581662d34486fc3a92a5868ecf6c5c4656e,0.25,8.7375,24.576173565932862,8,evican_eval2019
22607a311c4f50c4a3c3f7906143c581662d34486fc3a92a5868ecf6c5c4656e,0.5,1.99875,5.568645481622976,8,evican_eval2019
266804f1f75a7aa604b450cb18e66786f4ecacfddeac00fb2769a8996bd106d7,0.25,2.09,1.5344612828518773,8,autoqc_bench_test
266804f1f75a7aa604b450cb18e66786f4ecacfddeac00fb2769a8996bd106d7,0.5,3.43125,0.2994488985739349,8,autoqc_bench_test
26cd6d64a19a1511a63df3e4194deeb81c20dcfe30ccaa19a6552981cb4419a1,0.25,4.07375,1.532616227240205,8,autoqc_bench_test
26cd6d64a19a1511a63df3e4194deeb81c20dcfe30ccaa19a6552981cb4419a1,0.5,17.462500000000002,11.902425623136056,8,autoqc_bench_test
