image_sha256,frac,mean_pct,sd_pct,n_crops,dataset,sequence_id
01509acdd3ac8ba644b393ffa58c66d3612c381125c0cf81deac889c91422dbd,0.25,3.1175,2.9659217229499952,4,c2c12,c2c12_090325_exp1_F0018_Data
01509acdd3ac8ba644b393ffa58c66d3612c381125c0cf81deac889c91422dbd,0.5,4.3225,1.029898862348467,4,c2c12,c2c12_090325_exp1_F0018_Data
01802de3cc8e0ba96a8950d23e85cc60e8dae0745099bb586117c206af785cf5,0.25,5.985,1.3836786717539107,4,c2c12,c2c12_090303_exp1_F0005_Data
01802de3cc8e0ba96a8950d23e85cc60e8dae0745099bb586117c206af785cf5,0.5,8.09,0.5921148537234984,4,c2c12,c2c12_090303_exp1_F0005_Data
019858cb40dade57a8f8359e2df7da3bbf8aa43a0da71b7e70dfd5b69f56de8a,0.25,2.74,3.3984113935778875,4,c2c12,c2c12_090303_exp1_F0003_Data
019858cb40dade57a8f8359e2df7da3bbf8aa43a0da71b7e70dfd5b69f56de8a,0.5,6.2124999999999995,1.7748685397328257,4,c2c12,c2c12_090303_exp1_F0003_Data
019ca48a4e4cb99630a3c1f9e059267e756df34261a6751eadc9a8176073c7ff,0.25,68.495,6.221395877668186,4,c2c12,c2c12_090325_exp1_F0001_Data
019ca48a4e4cb99630a3c1f9e059267e756df34261a6751eadc9a8176073c7ff,0.5,55.995,1.7998796256046306,4,c2c12,c2c12_090325_exp1_F0001_Data
01c39a3e54ba3cecafddda5b51080330f4b7a720e6516303e8999617367c988f,0.25,63.8025,6.178939364216701,4,c2c12,c2c12_090325_exp1_F0001_Data
01c39a3e54ba3cecafddda5b51080330f4b7a720e6516303e8999617367c988f,0.5,64.385,1.7326184423197892,4,c2c12,c2c12_090325_exp1_F0001_Data
01d5f3bf838a6eadbfba459b18c1f7a92f60e5fab23b9b4832ac6937140601c5,0.25,12.854999999999999,9.824854536667026,4,c2c12,c2c12_090325_exp1_F0013_Data
01d5f3bf838a6eadbfba459b18c1f7a92f60e5fab23b9b4832ac6937140601c5,0.5,22.87,8.69963600771128,4,c2c12,c2c12_090325_exp1_F0013_Data
01eabea3fd85e1a5182f4e6156cef503c82a69c1288a3ce64569b30e55b7f40e,0.25,41.025,13.581684971558815,4,c2c12,c2c12_090325_exp1_F0016_Data
01eabea3fd85e1a5182f4e6156cef503c82a69c1288a3ce64569b30e55b7f40e,0.5,33.165,1.0905197537565892,4,c2c12,c2c12_090325_exp1_F0016_Data
01f339f19047671107e0ee114793a1fc1d7afb18e43059cda38552a79c426531,0.25,9.0375,5.272920601210175,4,c2c12,c2c12_090303_exp1_F0010_Data
